,negative,neutral,positive,sentiment,reach,freq,freq_n,reach_n,color
trato,0.0,1.0,0.0,0.0,50,1,22.131238242779684,2.2558531527666057,green
viaje,0.0,1.0,0.0,0.0,8400,1,22.131238242779684,378.9833296647898,green
aeropuerto,0.0,1.0,0.0,0.0,217,1,22.131238242779684,9.790402683007068,green
puedo,0.25,0.75,0.0,-0.25,9240,4,88.52495297111874,416.88166263126874,red
compania,0.25,0.75,0.0,-0.25,1457,4,88.52495297111874,65.73556087161889,red
dia,0.25,0.75,0.0,-0.25,10905,4,88.52495297111874,492.00157261839666,red
huelga,0.25,0.75,0.0,-0.25,5217,4,88.52495297111874,235.37571795966764,red
avios,0.2857142857142857,0.7142857142857143,0.0,-0.2857142857142857,16341,7,154.91866769945779,737.257927387182,red
puede,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,1527,3,66.39371472833905,68.89375528549213,red
mejor,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,1144,3,66.39371472833905,51.613920135299935,red
web,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,272,3,66.39371472833905,12.271841151050335,red
dias,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,5950,3,66.39371472833905,268.44652517922606,red
hola,0.42857142857142855,0.5714285714285714,0.0,-0.42857142857142855,15065,7,154.91866769945779,679.6885549285782,red
cuenta,0.5,0.5,0.0,-0.5,6940,4,88.52495297111874,313.1124176040049,red
quiero,0.5,0.5,0.0,-0.5,7142,2,44.26247648555937,322.226064341182,red
mal,0.5,0.5,0.0,-0.5,447,2,44.26247648555937,20.167327185733456,red
companias,0.5,0.5,0.0,-0.5,736,2,44.26247648555937,33.206158408724434,red
ver,0.5,0.5,0.0,-0.5,11688,2,44.26247648555937,527.3282329907217,red
dan,0.5,0.5,0.0,-0.5,2507,2,44.26247648555937,113.1084770797176,red
vosotros,0.5,0.5,0.0,-0.5,10237,2,44.26247648555937,461.86337449743485,red
ida,0.7142857142857143,0.14285714285714285,0.14285714285714285,-0.5714285714285714,3106,7,154.91866769945779,140.13359784986153,red
pues,0.6,0.4,0.0,-0.6,13068,5,110.65619121389841,589.5897800070801,red
hace,0.75,0.125,0.125,-0.625,9346,8,177.04990594223747,421.6640713151339,red
vuelo,0.625,0.375,0.0,-0.625,2699,8,177.04990594223747,121.77095318634137,red
barcelona,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,6807,3,66.39371472833905,307.1118482176457,red
vuelos,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,2379,3,66.39371472833905,107.33349300863509,red
billete,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,6921,3,66.39371472833905,312.25519340595355,red
pasa,0.75,0.25,0.0,-0.75,1275,4,88.52495297111874,57.524255395548444,red
hacer,0.8,0.2,0.0,-0.8,7693,5,110.65619121389841,347.08556608466995,red
via,0.8,0.2,0.0,-0.8,8992,5,110.65619121389841,405.69263099354635,red
respuesta,1.0,0.0,0.0,-1.0,227,1,22.131238242779684,10.24157331356039,red
bien,1.0,0.0,0.0,-1.0,474,2,44.26247648555937,21.38548788822742,red
ser,1.0,0.0,0.0,-1.0,132,2,44.26247648555937,5.955452323303838,red
servicio,1.0,0.0,0.0,-1.0,29,1,22.131238242779684,1.3083948286046314,red
siempre,1.0,0.0,0.0,-1.0,166,1,22.131238242779684,7.4894324671851304,red
solo,1.0,0.0,0.0,-1.0,207,1,22.131238242779684,9.339232052453747,red
europa,1.0,0.0,0.0,-1.0,1837,1,22.131238242779684,82.8800448326451,red
tan,1.0,0.0,0.0,-1.0,346,1,22.131238242779684,15.61050381714491,red
avion,1.0,0.0,0.0,-1.0,653,1,22.131238242779684,29.46144217513187,red
ano,1.0,0.0,0.0,-1.0,166,1,22.131238242779684,7.4894324671851304,red
british,1.0,0.0,0.0,-1.0,166,1,22.131238242779684,7.4894324671851304,red
tras,1.0,0.0,0.0,-1.0,167,2,44.26247648555937,7.534549530240462,red
algun,1.0,0.0,0.0,-1.0,227,1,22.131238242779684,10.24157331356039,red
veces,1.0,0.0,0.0,-1.0,454,2,44.26247648555937,20.48314662712078,red
vez,1.0,0.0,0.0,-1.0,6892,2,44.26247648555937,310.94679857734894,red
ahora,1.0,0.0,0.0,-1.0,2114,2,44.26247648555937,95.3774712989721,red
aerolineas,1.0,0.0,0.0,-1.0,252,1,22.131238242779684,11.369499889943691,red
volar,1.0,0.0,0.0,-1.0,812,4,88.52495297111874,36.63505520092968,red
voy,1.0,0.0,0.0,-1.0,17,1,22.131238242779684,0.766990071940646,red
tierra,1.0,0.0,0.0,-1.0,1087,1,22.131238242779684,49.042247541146004,red
peor,1.0,0.0,0.0,-1.0,253,2,44.26247648555937,11.414616952999024,red
primera,1.0,0.0,0.0,-1.0,6733,1,22.131238242779684,303.77318555155114,red
mad,1.0,0.0,0.0,-1.0,103,1,22.131238242779684,4.647057494699208,red
equipaje,1.0,0.0,0.0,-1.0,1,1,22.131238242779684,0.04511706305533211,red
empresa,1.0,0.0,0.0,-1.0,252,1,22.131238242779684,11.369499889943691,red
habeis,1.0,0.0,0.0,-1.0,151,2,44.26247648555937,6.812676521355149,red
hecho,1.0,0.0,0.0,-1.0,454,2,44.26247648555937,20.48314662712078,red
hora,1.0,0.0,0.0,-1.0,2171,4,88.52495297111874,97.94914389312602,red
horas,1.0,0.0,0.0,-1.0,57,2,44.26247648555937,2.5716725941539305,red
directo,1.0,0.0,0.0,-1.0,1837,1,22.131238242779684,82.8800448326451,red
igual,1.0,0.0,0.0,-1.0,226,1,22.131238242779684,10.196456250505058,red
dicen,1.0,0.0,0.0,-1.0,653,1,22.131238242779684,29.46144217513187,red
intentando,1.0,0.0,0.0,-1.0,346,1,22.131238242779684,15.61050381714491,red
linea,1.0,0.0,0.0,-1.0,252,1,22.131238242779684,11.369499889943691,red
aerolinea,1.0,0.0,0.0,-1.0,252,1,22.131238242779684,11.369499889943691,red
madrid,1.0,0.0,0.0,-1.0,103,1,22.131238242779684,4.647057494699208,red
primer,1.0,0.0,0.0,-1.0,6733,1,22.131238242779684,303.77318555155114,red
manana,1.0,0.0,0.0,-1.0,56,1,22.131238242779684,2.526555531098598,red
deja,1.0,0.0,0.0,-1.0,756,2,44.26247648555937,34.108499669831076,red
mas,1.0,0.0,0.0,-1.0,7126,4,88.52495297111874,321.50419133229667,red
nadie,1.0,0.0,0.0,-1.0,166,1,22.131238242779684,7.4894324671851304,red
navidad,1.0,0.0,0.0,-1.0,267,1,22.131238242779684,12.046255835773673,red
creo,1.0,0.0,0.0,-1.0,226,1,22.131238242779684,10.196456250505058,red
cosas,1.0,0.0,0.0,-1.0,13,1,22.131238242779684,0.5865218197193175,red
nunca,1.0,0.0,0.0,-1.0,681,4,88.52495297111874,30.72471994068117,red
felicidades,1.0,0.0,0.0,-1.0,29,1,22.131238242779684,1.3083948286046314,red
personal,1.0,0.0,0.0,-1.0,1087,1,22.131238242779684,49.042247541146004,red
check,1.0,0.0,0.0,-1.0,278,1,22.131238242779684,12.542543529382328,red
podeis,1.0,0.0,0.0,-1.0,16,1,22.131238242779684,0.7218730088853138,red
llevo,1.0,0.0,0.0,-1.0,346,1,22.131238242779684,15.61050381714491,red
