,negative,neutral,positive,sentiment,reach,freq,freq_n,reach_n,color
sevilla,0.2,0.7333333333333333,0.06666666666666667,-0.13333333333333336,13728,15,15.964965497253413,1.3383365605369988,red
gente,0.6,0.0,0.4,-0.19999999999999996,1421,5,3.68422280705848,0.13660680345770185,red
vuelos,0.4,0.4,0.2,-0.2,261090,5,3.68422280705848,25.492255157323306,red
gracias,0.47058823529411764,0.29411764705882354,0.23529411764705882,-0.23529411764705882,48370,17,18.421114035292398,4.720990517207268,red
madrid,0.32608695652173914,0.5869565217391305,0.08695652173913043,-0.2391304347826087,33744,46,54.035267836857706,3.2928196041462625,red
solo,0.5,0.25,0.25,-0.25,2361,4,2.4561485380389865,0.2283940766887524,red
pagina,0.5,0.25,0.25,-0.25,687,4,2.4561485380389865,0.06493461350920066,red
web,0.5,0.25,0.25,-0.25,12977,4,2.4561485380389865,1.2650043879875104,red
embarque,0.25,0.75,0.0,-0.25,1082,4,2.4561485380389865,0.10350479747331234,red
mejor,0.5714285714285714,0.14285714285714285,0.2857142857142857,-0.2857142857142857,10736,7,6.140371345097466,1.0461796227632718,red
barcelona,0.42857142857142855,0.42857142857142855,0.14285714285714285,-0.2857142857142857,5321,7,6.140371345097466,0.5174263413312095,red
hoy,0.5714285714285714,0.14285714285714285,0.2857142857142857,-0.2857142857142857,9669,7,6.140371345097466,0.9419913030424943,red
billete,0.5714285714285714,0.14285714285714285,0.2857142857142857,-0.2857142857142857,233300,7,6.140371345097466,22.778671834886186,red
mad,0.37254901960784315,0.5490196078431373,0.0784313725490196,-0.29411764705882354,50060,51,60.17563918195518,4.8860123169524545,red
voy,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,1673,3,1.228074269019493,0.16121360436645155,red
dan,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,247,3,1.228074269019493,0.021970357954240825,red
parte,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,166,3,1.228074269019493,0.014061029090714126,red
viaje,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,8109,6,4.912297076077972,0.7896634878930914,red
buen,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,4155,3,1.228074269019493,0.40357106411056587,red
aun,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,8041,3,1.228074269019493,0.7830235574891429,red
nunca,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,1292,3,1.228074269019493,0.12401046489727041,red
sigue,0.7142857142857143,0.0,0.2857142857142857,-0.4285714285714286,3617,7,6.140371345097466,0.3510374970910923,red
ida,0.6538461538461539,0.15384615384615385,0.19230769230769232,-0.46153846153846156,15545,26,29.47378245646784,1.5157594067719122,red
necesito,0.5,0.5,0.0,-0.5,531,4,2.4561485380389865,0.04970183199426035,red
