,negative,neutral,positive,sentiment,reach,freq,freq_n,reach_n,color
ano,0.5454545454545454,0.23030303030303031,0.22424242424242424,-0.32121212121212117,410315,165,25.69382007603052,8.30442840330626,red
hoy,0.5344827586206896,0.25862068965517243,0.20689655172413793,-0.3275862068965517,84842,58,5.022852044938297,1.702827074349871,red
ida,0.5580524344569289,0.2397003745318352,0.20224719101123595,-0.3558052434456929,313894,267,45.398855021557694,6.348711641119215,red
mad,0.5269709543568465,0.31950207468879666,0.15352697095435686,-0.37344398340248963,684539,241,40.37600297661939,13.866541152541176,red
vuelos,0.5176470588235295,0.3411764705882353,0.1411764705882353,-0.37647058823529417,191226,85,10.238890706989608,3.8606243594693628,red
podeis,0.4117647058823529,0.5588235294117647,0.029411764705882353,-0.38235294117647056,16292,34,0.3863732342260226,0.3124205856397159,red
algun,0.4909090909090909,0.41818181818181815,0.09090909090909091,-0.4,23701,55,4.443292193599263,0.4626980717790819,red
compania,0.6326530612244898,0.14285714285714285,0.22448979591836735,-0.40816326530612246,159189,49,3.2841724909211956,3.2108146923824594,red
hecho,0.59375,0.25,0.15625,-0.4375,48551,32,0.0,0.9667331008738647,red
saber,0.5142857142857142,0.42857142857142855,0.05714285714285714,-0.4571428571428571,12320,35,0.5795598513390348,0.23185611338360007,red
puedo,0.5106382978723404,0.43617021276595747,0.05319148936170213,-0.45744680851063824,166058,94,11.97757026100671,3.3501393046501478,red
numero,0.5945945945945946,0.2702702702702703,0.13513513513513514,-0.4594594594594595,22904,37,0.9659330855650574,0.4465324412684766,red
vuelo,0.5651162790697675,0.33488372093023255,0.1,-0.4651162790697675,514438,430,76.88827361097857,10.41636559986304,red
bien,0.6712328767123288,0.136986301369863,0.1917808219178082,-0.4794520547945206,226319,73,7.9206513016334705,4.572419179430056,red
vosotros,0.6756756756756757,0.13513513513513514,0.1891891891891892,-0.48648648648648646,160228,37,0.9659330855650574,3.231888833035557,red
puede,0.5375,0.4125,0.05,-0.4875,195648,80,9.27295762142455,3.950316226618543,red
necesito,0.5217391304347826,0.45652173913043476,0.021739130434782608,-0.5,16525,46,2.70461263958216,0.31714654788434704,red
tarjeta,0.5681818181818182,0.36363636363636365,0.06818181818181818,-0.5,130339,44,2.3182394053561373,2.6256472642382143,red
mas,0.6963562753036437,0.11740890688259109,0.1862348178137652,-0.5101214574898786,845850,247,41.53512267929746,17.138428258308117,red
ahora,0.7073170731707317,0.0975609756097561,0.1951219512195122,-0.5121951219512195,94505,41,1.7386795540171034,1.898822667353609,red
dos,0.6596858638743456,0.20418848167539266,0.13612565445026178,-0.5235602094240838,290685,191,30.71667212096882,5.877961178734473,red
tiempo,0.6666666666666666,0.19444444444444445,0.1388888888888889,-0.5277777777777777,44622,36,0.7727464684520461,0.8870408019075307,red
avion,0.6741573033707865,0.19101123595505617,0.1348314606741573,-0.5393258426966292,268219,89,11.011637175441653,5.42228105947317,red
semana,0.6829268292682927,0.1951219512195122,0.12195121951219512,-0.5609756097560976,28419,41,1.7386795540171034,0.5583937364579223,red
avios,0.6086956521739131,0.34782608695652173,0.043478260869565216,-0.5652173913043479,37546,46,2.70461263958216,0.7435175879890323,red
hora,0.7100591715976331,0.15384615384615385,0.13609467455621302,-0.57396449704142,236943,169,26.466566544482564,4.787906831305427,red
vez,0.7272727272727273,0.12727272727272726,0.14545454545454545,-0.5818181818181818,130052,55,4.443292193599263,2.619826014606416,red
tener,0.6388888888888888,0.3055555555555556,0.05555555555555555,-0.5833333333333333,11742,36,0.7727464684520461,0.22013248172095284,red
plus,0.6388888888888888,0.3055555555555556,0.05555555555555555,-0.5833333333333333,46309,36,0.7727464684520461,0.9212583912066412,red
asi,0.7185185185185186,0.15555555555555556,0.1259259259259259,-0.5925925925925927,184925,135,19.89822156264018,3.732820547866698,red
pagar,0.625,0.34375,0.03125,-0.59375,33203,32,0.0,0.6554280857210789,red
ver,0.7277227722772277,0.14356435643564355,0.12871287128712872,-0.599009900990099,331697,202,32.84172490921195,6.709811666188608,red
pueden,0.65,0.3,0.05,-0.6,24409,40,1.5454929369040922,0.47705850641083664,red
linea,0.7555555555555555,0.08888888888888889,0.15555555555555556,-0.6,322771,45,2.5114260224691485,6.528764717709733,red
ser,0.7185185185185186,0.16666666666666666,0.11481481481481481,-0.6037037037037037,891934,270,45.97841487289672,18.07315462775697,red
problema,0.7215189873417721,0.16455696202531644,0.11392405063291139,-0.6075949367088607,231175,79,9.07977100431154,4.670913911876103,red
manana,0.6595744680851063,0.2978723404255319,0.0425531914893617,-0.6170212765957447,53200,47,2.8977992566951714,1.061029231669102,red
comprar,0.6511627906976745,0.32558139534883723,0.023255813953488372,-0.627906976744186,33340,43,2.125052788243126,0.658206870388523,red
dia,0.715,0.2,0.085,-0.63,986501,200,32.45535167498593,19.99126652298459,red
dias,0.7216494845360825,0.1958762886597938,0.08247422680412371,-0.6391752577319587,583898,97,12.557130112345746,11.825229709356949,red
billete,0.6702127659574468,0.30851063829787234,0.02127659574468085,-0.648936170212766,136494,94,11.97757026100671,2.7504897432755744,red
express,0.7246376811594203,0.2028985507246377,0.07246376811594203,-0.6521739130434783,152830,69,7.147904833181423,3.0818344609935773,red
reserva,0.6842105263157895,0.28421052631578947,0.031578947368421054,-0.6526315789473685,85866,95,12.17075687811972,1.7235969685065335,red
pasa,0.75,0.16477272727272727,0.08522727272727272,-0.6647727272727273,104343,176,27.818872864273647,2.098367802815761,red
iberiaexpress,0.7424242424242424,0.18181818181818182,0.07575757575757576,-0.6666666666666666,152078,66,6.568344981842389,3.066581569972278,red
hace,0.7441860465116279,0.1813953488372093,0.07441860465116279,-0.6697674418604651,482952,215,35.3531509316811,9.777731920745202,red
funciona,0.7755102040816326,0.12244897959183673,0.10204081632653061,-0.673469387755102,45746,49,3.2841724909211956,0.9098390060404294,red
aeropuerto,0.7352941176470589,0.20588235294117646,0.058823529411764705,-0.6764705882352942,281096,68,6.954718216068412,5.683466535113151,red
atencion,0.8253968253968254,0.031746031746031744,0.14285714285714285,-0.6825396825396826,224071,63,5.988785130503356,4.526822771164258,red
dan,0.7439024390243902,0.1951219512195122,0.06097560975609756,-0.6829268292682926,167859,82,9.659330855650573,3.386669167322168,red
sigue,0.7948717948717948,0.10256410256410256,0.10256410256410256,-0.6923076923076923,114401,39,1.35230631979108,2.302375220225633,red
hacer,0.7622950819672131,0.18032786885245902,0.05737704918032787,-0.7049180327868853,225288,122,17.386795540171033,4.5515073035750575,red
