,tweet_IDs,user_followers
0,942743012337123328,43
1,926857871916183553,707
2,936979305720090626,195
3,943983853802328064,417
4,938207464457211904,150
5,931526746301714435,0
6,933385784228532233,1071
7,932856751099142144,5
8,927623530585509889,0
9,930719355704430592,664
10,938115911084593153,533
11,944883680970969088,38
12,937549230994051073,101
13,941081978807431169,63
14,933352064910012416,346
15,941598213106229248,8988
16,923921122495787008,2674
17,931611760829792256,179
18,943844779976208384,201
19,941121849366368258,1208
20,942150441445548032,21
21,941436315547127809,762
22,930553946023841794,342
23,937424103488843776,660
24,923271099151994880,191
25,941368109289693186,0
26,942400199523295233,1341
27,938270102583001088,955
28,940735482958401536,117
29,933098303306076161,451
30,924989371480240128,601
31,923485018898534400,2592
32,935245224242237446,150
33,935522320709505025,2536
34,943085078678265856,167
35,936308024574201857,28
36,927857767968378880,94
37,930121040629551112,957
38,930132597883260929,1557
39,946768474763923457,4
40,933236222322917377,9
41,923176300243759104,8
42,940629364538003457,15
43,936979903903424512,92
44,941366647897681922,2784
45,930458360180363266,0
46,925080174655258625,1579
47,930580935908708352,151
48,941620617035399168,1417
49,932632190130819074,7
50,938407966436446208,46
51,945373030049570816,6240
52,944338839182725120,6
53,948204965100736514,50
54,926099720203915264,1565
55,930607170277773312,892
56,926873194061058048,79
57,948667410529341442,370
58,925290755014479872,1054
59,923281240752574464,3
60,936704685771317248,26
61,933148460810997761,3226
62,923938934341750784,76
63,937632844255584256,92
64,923942886063988736,2731
65,923129085827649536,1097
66,950452229701500928,3111
67,932606772149391362,58
68,934390882811416576,1176
69,936524627664351232,15
70,942806538292428801,156
71,943010772300566528,154
72,940851061732052994,52
73,945657522496602113,131
74,935513720587014144,457
75,927654665881309186,140
76,936588883713843200,126
77,935255761470582785,385
78,943062868085309440,2376
79,945978662834360320,306
80,941614324560420864,216
81,927201899434201088,1191
82,941315427547992064,358
83,945961386382938113,770
84,943199382366810118,2719
85,937740735792713733,282
86,941011356442152960,27
87,933553917077676032,0
88,937270448013959169,54
89,937121508744409088,857
90,927544456496271360,366
91,935975050401976320,84
92,941338043021131776,789
93,941641562588680193,791
94,944685275594272775,232
95,947176246798176257,7
96,943946961119580160,93
97,936650637424644096,65
98,944888903911305216,34
99,936627019760021504,1040193
100,944006695688294402,241
101,944417871899357185,43162
102,945959091272216576,634
103,941714880574484480,5049
104,941790302792241152,6
105,944319999686184961,774
106,933389176082485248,1
107,931465715487518720,30079
108,934932076402499584,281
109,936621520146911232,20
110,946030389050605569,4
111,938060840372142080,5003
112,927652461246058497,756
113,942431878639955968,131
114,933406044285521921,1599
115,947173471402020866,30
116,923543144507101184,7
117,932936312092545026,1093
118,941384153878204416,586
119,946983472744280064,59584
120,931471693268254721,81
121,934843530069118977,21
122,936217611620274177,880
123,940951828757393408,3457
124,933293332897206272,53920
125,931526363370094593,503
126,943901927393423360,1054
127,937035365264785409,358
128,923257406221582341,244
129,938135891641450496,10827
130,942463033024090112,267
131,941602674629382144,694
132,928588661138116608,8
133,926444109342167040,9554
134,927924836579627009,98
135,941626245263085568,350
136,923532679567630336,236
137,930420285601435648,508
138,941289351715213313,8
139,936504583400038400,22
140,932629203085922304,254
141,948366630580613122,219
142,923592735206051840,166
143,934516362562691073,705
144,942376711219568640,51
145,944135703889371136,60
146,923243338127564801,14
147,934006136465960960,46833
148,935226983033733120,20
149,941358363790766080,186
150,933450117117509638,302
151,944417892933816321,3101
152,938435762055450624,2719
153,944953243607621632,4467
154,947076866841763840,1
155,930126428246564864,313
156,925313727355916288,825
157,945724235623800835,158
158,933730197379174400,2135
159,945615681814519808,24
160,936245953123770368,144
161,937594688495869952,63
162,941387290424827904,456
163,942549858703020032,1212
164,936931725875273728,52895
165,948307108616957952,507
166,933002481675759618,412
167,944620375996092417,217
168,950380293764124672,422
169,934211571798233088,4
170,926828726645673984,334
171,950389643282927619,0
172,947455173806444544,721
173,926082367088988160,705
174,948365333378813955,142
175,933343259497254914,203
176,933132800458444801,16
177,946049295144439810,207
178,940632249149599744,12916
179,934275807459139584,0
180,943885430474227713,704
181,948960309124923394,930
182,936303395295649792,102
183,927833761026330624,121
184,948584152605057024,110424
185,941088142047764480,0
186,950368891838042113,438
187,933295316996120576,217
188,934943948757520385,76
189,926821545154052096,81
190,935226344832614400,2245
191,947126193614217217,1066
192,947981533822021633,5020
193,949076650335010819,81
194,926320467933319168,23
195,947472338295164929,391
196,941087450872545280,0
197,940866139902668800,227
198,933786049624662016,52
199,948572764973170688,211
200,927290495923040256,1
201,933788147405770757,805
202,936191050154172416,102
203,948516542286876672,110
204,941408537430896640,227
205,926856765781798912,335
206,944900488474001409,767
207,927520511025909762,885
208,933361966118158337,0
209,935624076118384640,1479
210,937369087621115904,1137
211,941299474445553665,42103
212,941368721515466753,659
213,937331671929622528,0
214,936571920505561088,4320
215,946893247074402304,1
216,923955285135446023,1450
217,926454390143188992,80
218,933353268545277952,3758
219,934029797847642114,241
220,948583785339281410,120
221,948128381371142144,838
222,937342729981431808,177
223,947461771639558145,1224
224,927080509863317504,234
225,923870829141811202,12
226,948211168572780545,106
227,933581299868160002,8
228,944299295842471936,186
229,944934622449881088,16658
230,932590894989086720,81
231,941048018190655489,285
232,944164284019470336,3575
233,937192704244703232,29
234,934296480965414912,114
235,943094841000517632,2449
236,927426110203285504,126
237,923419503073071104,2784
238,941603572667617280,232
239,947817951528411137,102
240,943128423123341312,1928
241,936240827940196352,217
242,934064907271667712,122
243,940764727264927745,4523
244,945970645682225152,20
245,926776602242854913,1918
246,941695699850182656,53920
247,937400485929279489,3930
248,933729473236815872,9
249,935164066724765696,165
250,930645478362009600,2369
251,948317391137763328,379
252,935697859718074369,49
253,944917492140576768,38
254,936170643934142464,95
255,936805173481021440,418
256,924954243701858305,899
257,935512486584963077,15
258,948828000287625216,31
259,940649347359956992,397
260,941080533836103680,4357
261,942704798314516480,205
262,931161004599263232,830
263,923223491876413440,103510
264,947955929902911491,0
265,923229947400818688,657
266,942017095600103424,14
267,944279153855160320,361
268,940784029384749056,1066
269,923133859603951617,84705
270,936284114222833666,72
271,940682256196210690,40
272,945106690239852549,900
273,947479640087646209,4114
274,932542775760965632,120753
275,934390554678480898,238
276,948673582284115970,0
277,936630110530269185,1
278,940931750452191234,199
279,941424074986803204,61
280,926801027843502080,649
281,945780293067304962,193
282,950365997202108416,68
283,931039127062978560,1004714
284,942907644297269248,1151
285,927444615384485888,93
286,946187772003586053,3643
287,933082125913423872,221
288,930853262756106243,38
289,930461871123124224,431
290,942172750747176961,1523
291,931568264790118400,67
292,932546496934924289,2
293,941269069818458112,81
294,927486859479076864,346
295,948548012606939138,9
296,935559577403363329,17
297,945569443945598976,1190
298,927831606664024064,274
299,946302515137703936,442
300,925005312389771264,44
301,938385594429968385,145
302,927267315846086656,0
303,931550841059860480,33
304,937452713075494913,154
305,933006994071523328,613
306,945526923022749696,293
307,923145096576499713,196
308,938110060194082816,4493
309,945249618425720832,1781
310,934709913686892545,156
311,942782005317693443,127
312,940620904266190848,4584
313,934542304567857153,7
314,923576196021055489,158
315,923232118288809984,470
316,935294515694460928,282
317,946387920331649024,1346
318,936387743139188736,53
319,942915351129526272,1784
320,946415752038535168,705
321,926739998946316288,179
322,927497607018156032,2262
323,933539284656840704,217
324,950390053972344837,66
325,934004318897885185,10
326,933389891659894784,35
327,944279325565734914,710
328,946443752255746049,46
329,935580066016382976,1861
330,941195925313204224,67
331,943152983898025984,351
332,927247998094110721,1044
333,938080117405954049,3491
334,941020783454969862,63
335,945973463050850304,24
336,935192390884786181,179
337,932916821463912448,490
338,926794428781543424,2905
339,942359922569826304,425
340,942743736768966657,255
341,941627871008837632,1624
342,941998467706179584,840
343,930765649374253056,2
344,941744593216921601,233
345,927509414281646080,21
346,927284674946314242,75
347,945846960464039936,71
348,942534624844107777,104
349,943095897801543681,254
350,927665237372952577,2012
351,948680226359431173,0
352,940584560894578688,55
353,933705149779992576,211
354,942749429467148289,59
355,937745138075480064,20
356,942144382022639616,23
357,941628757009461248,304
358,935945485197692929,721
359,948563479404994560,5073
360,934905457306718211,2328
361,947147803867967488,0
362,941036087958556672,402
363,941056949596119040,8
364,930595880432013312,3768
365,935226222904250368,541
366,935963015316373505,1024
367,943847021886230528,12090
368,936173302392946688,147
369,946713815265226752,150
370,937649678728024066,65
371,928574418061877248,1913
372,944743389014065152,15
373,937108629752369152,166
374,927680742913699841,228
375,945992934809272321,16
376,929991249771290624,8
377,925044508865318914,409
378,944201643893182464,330
379,938044348834418688,3199
380,948901254075486208,392
381,928568263797280769,1399
382,936285177491357697,92
383,934733383334285313,161
384,943223926779465730,721
385,934466370917593088,1495
386,934886995276521475,43
387,936320224160346112,8610
388,942470441842733056,646
389,931517679789277184,39
390,935192569352507394,49530
391,930368476249718784,2690
392,927545589411311618,1662
393,936690430330236929,190
394,934032487789027328,29
395,942100294351179777,94531
396,927131890108305409,3010
397,933775716952477696,254
398,950408532481986560,21
399,942424676193722369,3287
400,947005840351006725,5510
401,937059548149501953,29
402,933508637636681728,12
403,950388223418753024,63
404,936485481881235456,64
405,941356606884909056,787
406,932991956103454720,1173
407,948667800029102081,928
408,941063811439742977,67
409,937351872414969857,340
410,930614837213884416,20289
411,933008383833202690,94
412,933784464634925057,734
413,936169238653554688,78
414,934377510279581696,533
415,941875298978578433,474
416,933675761436971008,3
417,947382046862737408,283
418,942835750881710080,6
419,946881826236387330,381
420,946139478661398528,211
421,942805820659699712,3933
422,937991120277180416,559
423,930502235255201799,493
424,941756411943505923,181
425,941778052400287744,80
426,923315770024742912,314
427,948314010016997377,27
428,925340010097889280,450
429,946508288241348614,33
430,945851715705888769,5
431,923896670844317696,70
432,930364352598827008,53
433,926074799578910721,836
434,933174543878848512,935
435,930902113735102469,203
436,935149787221028865,305
437,935074599359918080,342
438,945681970561941505,27
439,930864318857564164,2132
440,941295319861653504,34
441,950391790892388352,182
442,941612607290658816,167
443,924082110108979200,3505
444,932976868248211457,1054
445,931085077617967104,734
446,941373557313036289,253
447,944001327637651457,1518
448,941592468562370560,252
449,934094297166643200,4593
450,927159735186575361,32
451,948998908562337793,711
452,936626846782885895,373
453,933420017143767044,569
454,945617463215091712,133
455,937671340236124161,4271
456,933333381462577153,0
457,945374831297605632,4
458,945992334516391936,607
459,926111792715182081,287
460,945307789534072832,1377
461,942095967708426240,1112
462,935516187278172160,28
463,941237883779932160,654
464,926428166721343488,0
465,935456332995530752,189
466,925041989766303744,73
467,932919478869987329,934
468,926579249594687489,1570
469,948210467331244032,132
470,941358542342279168,186
471,946062254029582336,4
472,936136704259428352,1683
473,940974798070538241,84
474,933474496023023621,1149
475,935962107589398528,120
476,933950446317731840,46069
477,942930143311532032,269
478,923514611726536704,2179
479,935519700775206912,76
480,944311754590445571,73
481,941624434955255811,10825
482,933701388147806208,600
483,934091934989258753,2384
484,935850712407445504,125
485,943137634485972992,2558
486,934523559589838848,17
487,934136744739594240,39
488,926565420974342146,79
489,941423907449593858,108
490,943859092430475265,15
491,946766490342215681,10
492,946444835040514048,1520
493,932626561966247936,81
494,931074382763610112,1590
495,944246929969614849,129
496,938078515982987265,721
497,936571527402807296,141
498,935559976478789633,2536
499,934420594359140353,159
500,940705121784225793,507
501,947427417399922691,453
502,943045828738011136,149
503,943154842897334272,248
504,945846260204015616,71
505,944675788498104320,254
506,923512376409849857,583
507,948963867652165632,877
508,935216063339552770,337
509,941072763955109888,276
510,930072598012223488,20
511,944190884542902272,1534
512,948535280142835712,7461
513,942513865853632518,55
